,Time_stamp,Left_eye_x,Left_eye_y,Right_eye_x,Right_eye_y
0,0.0,344.68770614037146,293.46126409677356,456.9391573392428,314.7381349710318
1,1.0,337.1669220102244,259.23781131875927,438.3001662944925,272.8214816389413
2,2.0,342.2163887023926,255.04392910003662,441.8000151316325,267.84579133987427
3,3.0,341.88977845509845,252.55852937698364,442.20967292785645,265.8994607925415
4,4.0,343.190010439965,254.63581346696424,443.40495632540797,267.6487905748429
5,5.0,339.7037773132324,257.1863989830017,439.69128163655597,270.4261384010315
6,6.0,335.4332618713379,224.21014070510864,430.62608019510907,233.4446451663971
7,7.0,339.687637646993,233.34484958648682,435.7632478078206,243.03798866271973
8,8.0,335.54006576538086,201.73229956626892,418.99841054280597,211.78956294059753
9,9.0,347.71994129303965,198.78027423735588,409.2571295461347,206.83477255605882
10,10.0,339.6845169067383,210.60720467567444,404.1605752309163,217.84211611747742
11,11.0,337.0709425608317,213.00572562217712,401.6593373616536,220.5419373512268
12,12.0,345.2570495605469,213.94820857048035,409.6375192006429,222.49425339698792
13,13.0,346.10831960042316,215.36496305465698,410.0596561431885,224.96397399902344
14,14.0,325.5074764887492,217.30168175697327,389.7051347096761,224.47298455238342
15,15.0,331.37382221221924,217.17626929283142,396.949015935262,225.5381622314453
16,16.0,339.2656192779541,214.59093713760376,404.27004369099933,222.19740414619446
17,17.0,330.0322675704956,190.84748077392578,394.30303891499835,194.80718803405762
18,18.0,329.06558163960773,190.4243357181549,392.2426300048828,195.12122988700867
19,19.0,315.8006064097087,204.5789716243744,379.3650372823079,206.25128746032715
20,20.0,277.10456466674805,224.63153839111328,337.36925474802655,219.6494438648224
21,21.0,308.8567724227905,225.8281602859497,374.35239601135254,226.26422667503357
22,22.0,340.2941706975301,228.10200309753418,406.24866676330566,234.42642045021057
23,23.0,318.9014794031779,229.87082886695862,385.6576792399089,235.75657534599304
24,24.0,327.8313938776652,230.77009654045105,394.47747294108075,236.55493664741516
25,25.0,342.66001383463544,230.9595775604248,408.596534093221,237.5821089744568
26,26.0,354.5395736694336,233.17499494552612,418.19837125142413,241.29737639427185
27,27.0,325.9627300898234,232.27710151672363,392.23707580566406,238.13123083114624
28,28.0,318.07249546051025,233.9465000629425,384.71393394470215,237.46001720428467
